nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-d/model is already exist!
=========================== finish pre train! ===========================
EP:287 reward:692.20884971394 avg_reward:692.6075654887288 time_step287
EP:288 reward:692.20884971394 avg_reward:692.3124328913677 time_step288
EP:289 reward:692.20884971394 avg_reward:691.8011757845084 time_step289
EP:290 reward:692.20884971394 avg_reward:691.7994085991824 time_step290
EP:291 reward:692.20884971394 avg_reward:691.9559221389729 time_step291
EP:292 reward:692.20884971394 avg_reward:691.9575694075204 time_step292
EP:293 reward:692.20884971394 avg_reward:691.9585509554277 time_step293
EP:294 reward:692.20884971394 avg_reward:691.44804223226 time_step294
EP:295 reward:692.20884971394 avg_reward:691.8293484523821 time_step295
EP:296 reward:692.20884971394 avg_reward:692.2095103538194 time_step296
EP:297 reward:692.20884971394 avg_reward:692.5896722552565 time_step297
EP:298 reward:692.20884971394 avg_reward:692.5898133601431 time_step298
EP:299 reward:692.20884971394 avg_reward:692.208708609053 time_step299
EP:300 reward:692.20884971394 avg_reward:692.2088497139398 time_step300
EP:301 reward:692.20884971394 avg_reward:692.2088497139398 time_step301
EP:302 reward:692.20884971394 avg_reward:692.2088497139398 time_step302
EP:303 reward:692.20884971394 avg_reward:692.2088497139398 time_step303
EP:304 reward:692.20884971394 avg_reward:692.2088497139398 time_step304
EP:305 reward:692.20884971394 avg_reward:692.2088497139398 time_step305
EP:306 reward:692.20884971394 avg_reward:692.2088497139398 time_step306
EP:307 reward:692.20884971394 avg_reward:692.2088497139398 time_step307
EP:308 reward:692.20884971394 avg_reward:692.2088497139398 time_step308
EP:309 reward:692.20884971394 avg_reward:692.2088497139398 time_step309
EP:310 reward:692.20884971394 avg_reward:692.2088497139398 time_step310
EP:311 reward:692.20884971394 avg_reward:692.2088497139398 time_step311
EP:312 reward:692.20884971394 avg_reward:692.2088497139398 time_step312
EP:313 reward:692.20884971394 avg_reward:692.2088497139398 time_step313
EP:314 reward:692.20884971394 avg_reward:692.2088497139398 time_step314
EP:315 reward:692.20884971394 avg_reward:692.2088497139398 time_step315
EP:316 reward:692.20884971394 avg_reward:692.2088497139398 time_step316
EP:317 reward:692.20884971394 avg_reward:692.2088497139398 time_step317
EP:318 reward:692.20884971394 avg_reward:692.2088497139398 time_step318
EP:319 reward:692.20884971394 avg_reward:692.2088497139398 time_step319
EP:320 reward:692.20884971394 avg_reward:692.2088497139398 time_step320
