nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online/model is already exist!
=========================== finish pre train! ===========================
EP:376 reward:811.7239630204706 avg_reward:745.1101563417102 time_step376
EP:377 reward:656.1132326832314 avg_reward:744.4206570400166 time_step377
EP:378 reward:696.0270730603364 avg_reward:743.2646530493664 time_step378
EP:379 reward:696.4962280578382 avg_reward:742.1131231388975 time_step379
EP:380 reward:715.8127930849672 avg_reward:742.3065421535016 time_step380
EP:381 reward:811.7239630204706 avg_reward:742.3072895926591 time_step381
EP:382 reward:700.8314932664213 avg_reward:742.3735657232838 time_step382
EP:383 reward:767.1101898658229 avg_reward:742.8119093279186 time_step383
EP:384 reward:694.2038802039574 avg_reward:743.2116101866194 time_step384
EP:385 reward:811.7239630204706 avg_reward:743.2123128902465 time_step385
EP:386 reward:656.5562349533084 avg_reward:741.6606356095748 time_step386
EP:387 reward:811.6134369317336 avg_reward:742.6187589887268 time_step387
EP:388 reward:694.2122854696064 avg_reward:741.443642213218 time_step388
EP:389 reward:696.4708916245567 avg_reward:741.3638090493367 time_step389
EP:390 reward:811.6492191047276 avg_reward:742.3221733095344 time_step390
EP:391 reward:694.2122854696064 avg_reward:741.1470565340258 time_step391
EP:392 reward:811.6492191047276 avg_reward:742.69798637554 time_step392
EP:393 reward:696.4708916245567 avg_reward:742.7022145113016 time_step393
