nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-c/model create successfully!
=========================== finish pre train! ===========================
EP:250 reward:741.9104314850664 avg_reward:720.1421082542552 time_step250
EP:251 reward:741.9104314850664 avg_reward:720.6454585035378 time_step251
EP:252 reward:741.9104314850664 avg_reward:720.5579366692211 time_step252
EP:253 reward:741.9104314850664 avg_reward:720.5572910043539 time_step253
EP:254 reward:741.9104314850664 avg_reward:721.2282366085192 time_step254
EP:255 reward:741.9104314850664 avg_reward:721.730225018785 time_step255
EP:256 reward:741.9104314850664 avg_reward:722.4006103429111 time_step256
EP:257 reward:741.9104314850664 avg_reward:722.9039605921936 time_step257
EP:258 reward:741.9104314850664 avg_reward:723.3890722815097 time_step258
EP:259 reward:741.9104314850664 avg_reward:724.0596618100385 time_step259
EP:260 reward:741.9104314850664 avg_reward:724.5435655854005 time_step260
EP:261 reward:741.9104314850664 avg_reward:725.2143893874257 time_step261
EP:262 reward:741.9104314850664 avg_reward:725.7167974372938 time_step262
EP:263 reward:741.9104314850664 avg_reward:725.7174198793468 time_step263
EP:264 reward:741.9104314850664 avg_reward:725.7180423213999 time_step264
EP:265 reward:741.9104314850664 avg_reward:726.3870240494716 time_step265
EP:266 reward:741.9104314850664 avg_reward:726.2995146619899 time_step266
EP:267 reward:741.9104314850664 avg_reward:726.5940887556458 time_step267
EP:268 reward:741.9104314850664 avg_reward:726.5061768406094 time_step268
EP:269 reward:741.9104314850664 avg_reward:726.5061768406092 time_step269
EP:270 reward:741.9104314850664 avg_reward:727.1767663691382 time_step270
EP:271 reward:741.9104314850664 avg_reward:727.2385670854392 time_step271
EP:272 reward:741.9104314850664 avg_reward:727.9089048617557 time_step272
EP:273 reward:741.9104314850664 avg_reward:727.9084517237571 time_step273
EP:274 reward:741.9104314850664 avg_reward:728.3462531288843 time_step274
EP:275 reward:741.9104314850664 avg_reward:728.8253882324057 time_step275
EP:276 reward:741.9104314850664 avg_reward:729.4957330818146 time_step276
EP:277 reward:741.9104314850664 avg_reward:729.9974362621548 time_step277
EP:278 reward:741.9104314850664 avg_reward:730.2920521132232 time_step278
EP:279 reward:741.9104314850664 avg_reward:730.9619118978407 time_step279
EP:280 reward:741.9104314850664 avg_reward:731.6311749088002 time_step280
EP:281 reward:741.9104314850664 avg_reward:731.5436530744835 time_step281
EP:282 reward:741.9104314850664 avg_reward:731.5436530744835 time_step282
EP:283 reward:741.9104314850664 avg_reward:732.0276257741143 time_step283
EP:284 reward:741.9104314850664 avg_reward:732.0894264904153 time_step284
EP:285 reward:741.9104314850664 avg_reward:732.5702191346167 time_step285
EP:286 reward:741.9104314850664 avg_reward:733.2406718415809 time_step286
EP:287 reward:741.9104314850664 avg_reward:733.7204157351449 time_step287
EP:288 reward:741.9104314850664 avg_reward:734.2000895455467 time_step288
EP:289 reward:741.9104314850664 avg_reward:734.1994438806795 time_step289
EP:290 reward:741.9104314850664 avg_reward:734.8698965876438 time_step290
EP:291 reward:741.9104314850664 avg_reward:735.3490316911651 time_step291
EP:292 reward:741.9104314850664 avg_reward:735.2601354412906 time_step292
EP:293 reward:741.9104314850664 avg_reward:735.1726136069739 time_step293
EP:294 reward:741.9104314850664 avg_reward:735.2902743009922 time_step294
EP:295 reward:741.9104314850664 avg_reward:735.7926823508601 time_step295
EP:296 reward:741.9104314850664 avg_reward:736.4633878325604 time_step296
EP:297 reward:741.9104314850664 avg_reward:737.1342116345858 time_step297
