nohup: ignoring input
=========================== finish pre train! ===========================
EP:201 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10050
EP:202 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10100
EP:203 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10150
EP:204 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10200
EP:205 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10250
EP:206 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10300
EP:207 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10350
EP:208 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10400
EP:209 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10450
EP:210 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10500
EP:211 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10550
EP:212 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10600
EP:213 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10650
EP:214 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10700
EP:215 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10750
EP:216 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10800
EP:217 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10850
EP:218 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10900
EP:219 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10950
EP:220 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11000
EP:221 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11050
EP:222 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11100
EP:223 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11150
EP:224 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11200
EP:225 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11250
EP:226 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11300
EP:227 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11350
EP:228 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11400
EP:229 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11450
EP:230 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11500
EP:231 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11550
EP:232 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11600
EP:233 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11650
EP:234 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11700
EP:235 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11750
EP:236 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11800
EP:237 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11850
EP:238 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11900
EP:239 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step11950
EP:240 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12000
EP:241 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12050
EP:242 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12100
EP:243 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12150
EP:244 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12200
EP:245 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12250
EP:246 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12300
EP:247 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12350
EP:248 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12400
EP:249 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step12450
